Month/Year,License Class,Trips Per Day,Farebox Per Day,Unique Drivers,Unique Vehicles,Vehicles Per Day,Avg Days Vehicles on Road,Avg Hours Per Day Per Vehicle,Avg Days Drivers on Road,Avg Hours Per Day Per Driver,Avg Minutes Per Trip,Percent of Trips Paid with Credit Card,Trips Per Day Shared
2023-09,Yellow,"94,351","2,473,575","11,818","8,495","6,689",23.6,8.0,19.7,6.9,17.8,81%,-
2023-08,FHV - Black Car,"21,358",-,"7,507","6,682","3,143",14.6,5.2,14.0,4.9,27.0,-,-
2023-08,FHV - High Volume,"591,032",-,"80,823","77,520","54,179",21.7,6.4,21.3,6.2,19.0,-,"4,485"
2023-08,FHV - Livery,"23,915",-,"6,283","6,098","3,736",19.0,4.8,18.9,4.7,19.0,-,-
2023-08,FHV - Lux Limo,"1,324",-,"1,873","1,789",676,11.7,1.9,11.5,1.9,74.0,-,-
2023-08,Green,"1,957","44,903",886,853,471,17.1,3.4,16.7,3.4,15.2,68%,-
2023-08,Yellow,"90,485","2,282,461","11,442","8,341","6,933",25.8,7.8,21.7,6.7,15.9,79%,-
2023-07,FHV - Black Car,"17,464",-,"7,352","6,568","2,842",13.4,4.7,12.9,4.4,25.0,-,-
2023-07,FHV - High Volume,"617,161",-,"80,592","77,346","53,969",21.6,6.4,21.2,6.3,19.0,-,"4,795"
2023-07,FHV - Livery,"25,744",-,"6,750","6,558","3,993",18.9,4.8,18.8,4.7,19.0,-,-
2023-07,FHV - Lux Limo,959,-,"1,556","1,549",515,10.3,1.9,10.5,1.8,71.0,-,-
2023-07,Green,"1,978","43,964",882,850,464,16.9,3.4,16.5,3.4,14.9,67%,-
2023-07,Yellow,"93,315","2,347,673","11,396","8,306","6,811",25.4,7.9,21.5,6.8,18.3,79%,-
2023-06,FHV - Black Car,"17,742",-,"7,183","6,449","2,899",13.5,4.7,13.0,4.4,26.0,-,-
2023-06,FHV - High Volume,"645,549",-,"81,025","77,565","55,701",21.5,6.5,21.1,6.4,20.0,-,"4,201"
2023-06,FHV - Livery,"22,559",-,"5,520","5,320","3,359",18.9,5.0,18.8,4.8,20.0,-,-
2023-06,FHV - Lux Limo,"1,245",-,"1,625","1,569",606,11.6,2.0,11.5,2.0,70.0,-,-
2023-06,Green,"2,184","48,844",889,855,479,16.8,3.6,16.4,3.5,15.5,69%,-
2023-06,Yellow,"109,766","2,802,472","11,736","8,384","7,171",25.7,8.4,21.5,7.2,16.6,81%,-
2023-05,FHV - Black Car,"21,770",-,"7,508","6,844","3,318",15.0,5.0,14.6,4.7,29.0,-,-
2023-05,FHV - High Volume,"640,244",-,"80,394","77,106","55,261",22.2,6.5,21.8,6.4,20.0,-,"4,318"
2023-05,FHV - Livery,"22,406",-,"5,601","5,361","3,367",19.5,4.9,19.1,4.8,20.0,-,-
2023-05,FHV - Lux Limo,"1,544",-,"1,622","1,622",631,12.1,2.3,12.4,2.2,64.0,-,-
2023-05,Green,"2,231","48,349",922,879,475,16.8,3.7,16.3,3.6,15.3,68%,-
2023-05,Yellow,"112,843","2,867,319","11,661","8,317","7,186",26.8,8.6,22.4,7.3,16.8,81%,-
2023-04,FHV - Black Car,"20,381",-,"7,401","6,846","3,185",14.0,4.9,13.7,4.7,28.0,-,-
2023-04,FHV - High Volume,"638,161",-,"79,657","76,511","54,269",21.3,6.5,20.9,6.4,19.0,-,"3,515"
2023-04,FHV - Livery,"20,791",-,"5,453","5,262","3,159",18.0,4.9,17.8,4.8,20.0,-,-
2023-04,FHV - Lux Limo,"1,201",-,"1,577","1,548",583,11.3,2.0,11.3,2.0,68.0,-,-
2023-04,Green,"2,179","45,836",933,884,481,16.3,3.5,15.8,3.5,14.6,67%,-
2023-04,Yellow,"109,071","2,704,765","11,236","8,172","6,916",25.4,8.4,21.5,7.3,15.9,80%,-
2023-03,FHV - Black Car,"21,445",-,"7,597","7,102","3,433",15.0,4.8,14.7,4.6,28.0,-,-
2023-03,FHV - High Volume,"658,499",-,"79,004","75,941","55,118",22.5,6.6,22.1,6.4,19.0,-,"12,983"
2023-03,FHV - Livery,"20,960",-,"4,984","4,797","3,038",19.6,5.1,19.4,5.0,20.0,-,-
2023-03,FHV - Lux Limo,"1,325",-,"1,582","1,560",640,12.7,2.1,12.9,2.0,66.0,-,-
2023-03,Green,"2,323","47,270",942,884,498,17.5,3.6,16.8,3.5,14.5,66%,-
2023-03,Yellow,"109,230","2,658,778","11,235","8,119","6,970",26.6,8.5,22.5,7.3,15.5,81%,-
2023-02,FHV - Black Car,"19,630",-,"7,279","6,846","3,208",13.1,4.7,12.9,4.5,27.0,-,-
2023-02,FHV - High Volume,"641,461",-,"77,137","74,404","53,180",20.0,6.6,19.7,6.4,18.0,-,"10,811"
2023-02,FHV - Livery,"19,739",-,"4,854","4,670","2,970",17.8,5.0,17.5,4.9,19.0,-,-
2023-02,FHV - Lux Limo,"1,192",-,"1,466","1,424",564,11.1,2.1,11.1,2.0,64.0,-,-
2023-02,Green,"2,313","46,203",928,891,504,15.8,3.6,15.5,3.5,14.1,66%,-
2023-02,Yellow,"103,632","2,440,127","10,762","7,886","6,679",23.7,8.4,20.2,7.2,14.7,81%,-
2023-01,FHV - Black Car,"16,286",-,"7,291","6,903","2,925",13.1,4.3,12.9,4.2,25.0,-,-
2023-01,FHV - High Volume,"596,095",-,"77,641","74,553","50,996",21.2,6.4,20.7,6.3,18.0,-,"9,998"
2023-01,FHV - Livery,"19,638",-,"4,913","4,747","2,878",18.8,4.9,18.5,4.8,18.0,-,-
2023-01,FHV - Lux Limo,"1,075",-,"1,514","1,482",540,11.3,2.0,11.4,1.9,63.0,-,-
2023-01,Green,"2,199","43,733",960,911,488,16.6,3.5,16.1,3.5,13.8,65%,-
2023-01,Yellow,"98,569","2,335,375","10,594","7,737","6,354",25.5,8.2,21.6,7.1,14.4,80%,-
2022-12,FHV - Black Car,"20,152",-,"8,044","7,743","3,307",13.2,4.6,13.0,4.5,28.0,-,-
2022-12,FHV - High Volume,"634,379",-,"78,091","74,877","52,087",21.6,6.6,21.1,6.4,19.0,-,"10,672"
2022-12,FHV - Livery,"20,097",-,"4,376","4,204","2,793",20.6,5.1,20.2,5.0,19.0,-,-
2022-12,FHV - Lux Limo,"1,120",-,"1,712","1,656",544,10.2,2.0,10.1,2.0,69.0,-,-
2022-12,Green,"2,336","45,204",966,942,496,16.3,3.6,16.1,3.5,15.9,66%,-
2022-12,Yellow,"109,287","2,358,881","10,751","7,791","6,529",26.0,8.7,22.0,7.5,16.9,78%,-
2022-11,FHV - Black Car,"17,581",-,"7,444","7,394","3,250",13.2,4.2,13.2,4.2,30.0,-,-
2022-11,FHV - High Volume,"602,819",-,"77,228","74,237","51,703",20.9,6.5,20.5,6.3,19.0,-,"9,397"
2022-11,FHV - Livery,"19,089",-,"4,506","4,328","2,852",19.8,5.0,19.4,4.9,21.0,-,-
2022-11,FHV - Lux Limo,"1,303",-,"1,648","1,611",616,11.5,2.1,11.4,2.1,69.0,-,-
2022-11,Green,"2,076","35,983",958,910,458,15.1,3.5,14.5,3.4,16.2,69%,-
2022-11,Yellow,"108,146","2,088,889","10,804","7,685","6,100",23.8,9.1,19.9,7.7,16.5,80%,-
2022-10,FHV - Black Car,"17,377",-,"7,498","7,165","3,169",13.7,4.3,13.4,4.2,30.0,-,-
2022-10,FHV - High Volume,"622,770",-,"76,651","73,747","51,532",21.7,6.6,21.2,6.5,20.0,-,"3,573"
2022-10,FHV - Livery,"19,930",-,"4,530","4,328","2,906",20.8,5.0,20.4,4.9,20.0,-,-
2022-10,FHV - Lux Limo,"1,428",-,"1,729","1,650",647,12.2,2.2,12.0,2.1,69.0,-,-
2022-10,Green,"2,236","39,956",966,929,485,16.2,3.5,15.8,3.5,16.5,69%,-
2022-10,Yellow,"118,197","2,301,955","10,737","7,585","6,442",26.3,9.2,21.9,7.8,16.7,79%,-
2022-09,FHV - Black Car,"17,606",-,"7,330","7,084","3,117",13.2,4.3,13.1,4.2,29.0,-,-
2022-09,FHV - High Volume,"593,114",-,"75,194","72,616","49,980",20.6,6.6,20.3,6.5,20.0,-,443
2022-09,FHV - Livery,"21,664",-,"4,664","4,492","3,020",20.2,5.1,19.8,5.0,21.0,-,-
2022-09,FHV - Lux Limo,"1,384",-,"1,749","1,664",630,11.4,2.2,11.1,2.1,72.0,-,-
2022-09,Green,"2,300","43,805",964,928,491,15.9,3.6,15.4,3.5,17.2,69%,-
2022-09,Yellow,"105,917","2,109,566","10,249","7,380","6,005",24.4,8.9,20.4,7.6,17.2,79%,-
2022-08,FHV - Black Car,"15,140",-,"6,892","6,610","2,838",13.3,4.1,13.2,4.0,26.0,-,-
2022-08,FHV - High Volume,"554,361",-,"72,640","70,497","46,996",20.7,6.5,20.4,6.4,19.0,-,466
2022-08,FHV - Livery,"21,030",-,"4,674","4,524","2,958",20.3,5.1,20.0,5.0,19.0,-,-
2022-08,FHV - Lux Limo,986,-,"1,367","1,305",493,11.7,2.0,11.5,1.9,69.0,-,-
2022-08,Green,"2,126","38,913",961,924,475,16.0,3.5,15.5,3.4,15.8,67%,-
2022-08,Yellow,"101,327","1,918,362","9,678","7,169","5,823",25.2,8.8,21.6,7.6,15.4,77%,-
2022-07,FHV - Black Car,"15,715",-,"7,522","7,248","2,954",12.6,4.1,12.5,4.0,25.0,-,-
2022-07,FHV - High Volume,"563,353",-,"73,321","71,043","46,799",20.4,6.5,20.1,6.4,19.0,-,853
2022-07,FHV - Livery,"20,553",-,"4,718","4,562","2,890",19.6,5.1,19.4,5.0,19.0,-,-
2022-07,FHV - Lux Limo,"1,041",-,"1,562","1,513",526,10.8,2.0,10.5,1.9,69.0,-,-
2022-07,Green,"2,070","37,363",977,940,467,15.4,3.4,15.0,3.4,15.7,67%,-
2022-07,Yellow,"102,052","1,921,785","9,843","7,156","5,702",24.7,8.9,20.8,7.7,15.1,77%,-
2022-06,FHV - Black Car,"17,040",-,"7,242","7,031","3,150",13.4,4.1,13.3,4.0,28.0,-,-
2022-06,FHV - High Volume,"592,656",-,"74,020","71,552","49,341",20.7,6.6,20.3,6.5,20.0,-,133
2022-06,FHV - Livery,"21,855",-,"4,646","4,505","3,037",20.2,5.2,20.0,5.1,20.0,-,-
2022-06,FHV - Lux Limo,"1,253",-,"1,639","1,551",597,11.5,2.1,11.3,2.0,72.0,-,-
